ID,name,backgroundColor,textColor,headingColor,accentColor,linkColor,buttonBackgroundColor,buttonTextColor,buttonBorderColor,borderColor,overlayColor,overlayOpacity
30000000-0000-4000-8000-000000000001,Ozean,#EAF6FB,#16324F,#0B2545,#2A9D8F,#0077B6,#0077B6,#FFFFFF,#0077B6,#A9D6E5,#06283D,42
30000000-0000-4000-8000-000000000002,Wald,#EEF7F0,#243B2F,#163A24,#6A994E,#386641,#386641,#FFFFFF,#386641,#B7D3B0,#102A1B,45
30000000-0000-4000-8000-000000000003,Sonnenuntergang,#FFF3E8,#4A2C2A,#7F2D2D,#F4A261,#C44536,#C44536,#FFFFFF,#C44536,#F2C6A0,#3B1F1C,38
30000000-0000-4000-8000-000000000004,Lavendel,#F6F1FB,#3D315B,#2F2450,#9B7EBD,#6F4AA8,#6F4AA8,#FFFFFF,#6F4AA8,#D6C8E5,#241A38,42
30000000-0000-4000-8000-000000000005,Graphit,#20252B,#E8EDF2,#FFFFFF,#7DD3FC,#38BDF8,#0284C7,#FFFFFF,#38BDF8,#4B5563,#090C10,58
30000000-0000-4000-8000-000000000006,Sand,#FAF3E3,#493D2F,#33291F,#C89B3C,#9A6B16,#9A6B16,#FFFFFF,#9A6B16,#DDC89C,#2F261D,35
30000000-0000-4000-8000-000000000007,Koralle,#FFF0EE,#51302E,#7A302A,#E76F51,#C94C37,#C94C37,#FFFFFF,#C94C37,#F0B9AE,#3C1E1B,40
30000000-0000-4000-8000-000000000008,Arktis,#F0F8FF,#23384D,#12395B,#67B7D1,#126E9B,#126E9B,#FFFFFF,#126E9B,#B9D9E8,#0B2638,36
30000000-0000-4000-8000-000000000009,Burgunder,#F9EFF2,#4A202B,#701F36,#B85C72,#8B2942,#8B2942,#FFFFFF,#8B2942,#DDB8C2,#2D1018,48
30000000-0000-4000-8000-000000000010,Smaragd,#EAF7F3,#183B34,#0B4F42,#35B896,#087F68,#087F68,#FFFFFF,#087F68,#A9D8CC,#062A24,44
30000000-0000-4000-8000-000000000011,Mitternacht,#101C36,#E6EEFF,#FFFFFF,#8AB4FF,#A8C7FA,#3B82F6,#FFFFFF,#60A5FA,#334A72,#050A16,62
30000000-0000-4000-8000-000000000012,Rosé,#FFF3F6,#4D2937,#71384D,#D987A1,#B64F72,#B64F72,#FFFFFF,#B64F72,#E8BDCC,#321722,37
